id,regime,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163781083,reinverted,0.1,0.8,1.42,0.12,0.03631740921699281,0.5444013762605218,0.6100066039207783,2.980969615904711e-5,11.815178802943109,1.0846368909585105
163784946,reinverted,0.1,0.8,1.42,0.12,1.5459698340673804,0.2831623330812534,0.19821034857633552,0.000312720585170208,11.758026058337942,1.0850482891463633
163788170,reinverted,0.1,0.8,1.42,0.12,0.31444961943387,0.36521587945557593,0.4329293844046983,2.2497883899668202e-5,11.818287299334363,1.084614629402039
163789202,reinverted,0.1,0.8,1.42,0.12,0.5255382118022033,0.29033705163786716,0.41341970465316485,8.999153530079759e-6,11.829912719427435,1.0845314774265216
163789376,reinverted,0.1,0.8,1.42,0.12,-0.6052572025434181,0.6817887744511228,0.5815927103282542,0.00011586410280512509,11.633830087436575,1.0859562149768633
163791468,reinverted,0.1,0.8,1.42,0.12,0.24837247511492389,0.3561715806534275,0.4602286609061574,1.462362453085125e-5,11.828640953440296,1.084540565897315
163792030,reinverted,0.1,0.8,1.42,0.12,1.4177751287430485,0.16719890080196367,0.19821034857633552,2.2497883800109118e-5,11.82718698063402,1.0845509588744484
163793201,reinverted,0.1,0.8,1.42,0.12,-0.5778362148882485,2.26004464923827,1.4806914935602618,0.0004353340533437702,11.754556746373106,1.0850733908199943
163793981,reinverted,0.1,0.8,1.42,0.12,0.04516752777036787,0.48574061133700236,0.6614714990932252,1.1248941912597404e-5,11.829917557549164,1.084531442855395
163794933,reinverted,0.1,0.8,1.42,0.12,-0.32726102826688525,0.6576624529597392,0.8152264962542745,1.7998307114891792e-5,11.8273019144317,1.08455013723627
163795039,reinverted,0.1,0.8,1.42,0.12,-0.14949315115004302,0.7791866739387432,0.7464299804439208,6.524386324667889e-5,11.804261963704707,1.0847151650035183
163820679,reinverted,0.1,0.8,1.42,0.12,0.24323209934645465,0.610346362942088,0.6298844322953121,4.4995767650354916e-5,11.82635067996086,1.0845569378975417
163820812,reinverted,0.1,0.8,1.42,0.12,0.013869523858545958,0.6375344356286894,0.6411348670920682,5.118268582280273e-5,11.809439526599789,1.0846780236900813
163820927,reinverted,0.1,0.8,1.42,0.12,-0.06416210325637488,0.6390184712766699,0.782573683846921,1.9123201251417813e-5,11.828132145618177,1.0845442025578365
163822340,reinverted,0.1,0.8,1.42,0.12,1.0715595036115446,0.3589128599498756,0.29729057413261284,0.00013498730281724617,11.802595937387126,1.0847271231943387
163822404,reinverted,0.1,0.8,1.42,0.12,0.4397010058371637,0.46233048581634045,0.5053939902013611,3.374682573775327e-5,11.828195338306362,1.0845437508764704
16382328x,reinverted,0.1,0.8,1.42,0.12,-0.30816642955630313,0.9328587700499772,1.0338810490230288,3.14970373552436e-5,11.822778666188755,1.0845824850684078
163825592,reinverted,0.1,0.8,1.42,0.12,-1.0960168520047933,0.7138121956597809,0.7910053079798148,3.149703776310463e-5,11.80213395590138,1.0847304397439053
163826034,reinverted,0.1,0.8,1.42,0.12,0.475856841676731,0.44263921094983233,0.48069968062183294,3.487171992903244e-5,11.826272857003728,1.084557494325677
163827272,reinverted,0.1,0.8,1.42,0.12,0.45129752959946184,0.34924456516792085,0.32314192224157084,7.761769963469199e-5,11.804369557003923,1.0847143928501177
163829075,reinverted,0.1,0.8,1.42,0.12,-0.9938277273963189,0.6172904794073776,0.7178891769342842,2.4747672511625292e-5,11.810950163498681,1.0846671932534662
163837251,reinverted,0.1,0.8,1.42,0.12,-0.05830491336359806,0.8147035584918909,0.8407749049687958,4.499576765036625e-5,11.824818769037305,1.0845678922892628
163837809,reinverted,0.1,0.8,1.42,0.12,-0.7251357155851667,0.5612562981367708,0.564362057675227,5.118268636502171e-5,11.792337768554246,1.0848008274208891
163858001,reinverted,0.1,0.8,1.42,0.12,-0.7040989124786792,2.398874149718488,1.5637747134325746,0.00044602054830989406,11.728928332495308,1.0852592812959283
163858538,reinverted,0.1,0.8,1.42,0.12,-0.8000202601228769,1.1231396254787094,0.8011478946869492,0.0002829108918004718,11.583273810287427,1.0863313788811477
163859629,reinverted,0.1,0.8,1.42,0.12,0.6138351319285272,0.36887778888204453,0.4290443674140201,2.4747672207689934e-5,11.829048695241115,1.0845376518233714
163860478,reinverted,0.1,0.8,1.42,0.12,0.5535379068525096,0.9117015846021486,0.6315518747974458,0.00032903155058209486,11.717296930609988,1.0853439155738747
163861606,reinverted,0.1,0.8,1.42,0.12,1.26131726620451,0.6617595989379306,0.32790386159723955,0.0017492104674301017,11.585225974983667,1.086316831640516
16386230x,reinverted,0.1,0.8,1.42,0.12,-0.5183985014006544,1.4749703065601387,1.2287366432722733,0.00012992527948886,11.518309992313036,1.086818291977501
163863767,reinverted,0.1,0.8,1.42,0.12,-0.3822330723533653,1.6493818294770919,1.155710387554807,0.00030990835072286315,11.639104499170893,1.0859172627989753
163871812,reinverted,0.1,0.8,1.42,0.12,-0.9505931634371795,1.961896882209256,1.0086474874751163,0.0014061177563610128,10.670804383784672,1.093713647447197
163899452,reinverted,0.1,0.8,1.42,0.12,0.26392638711323485,1.1306866183564848,0.7667447815294283,0.0003661530592613568,11.730102336137309,1.0852507481472917
163901671,reinverted,0.1,0.8,1.42,0.12,1.3116990092676273,1.0296492804022266,0.5472849302277096,0.0012373835973063614,11.724579583261411,1.085290904709935
163904143,reinverted,0.1,0.8,1.42,0.12,0.24242743057053653,0.7734658395883212,0.7035876590367057,8.43670643441638e-5,11.754409252507374,1.0850744583175618
163906077,reinverted,0.1,0.8,1.42,0.12,-0.16207343912738573,1.0698951905905234,0.8475259029946507,0.00016873412924754715,11.80316236998279,1.08472305714807
163906085,reinverted,0.1,0.8,1.42,0.12,-1.360788110575147,2.0371447983975446,1.987091243968743,5.9619392473254335e-5,11.810504375639267,1.0846703890193405
163907133,reinverted,0.1,0.8,1.42,0.12,-0.976379598003116,1.4680615269097246,1.0628138167000105,0.0001687341296397842,5.35017685901459,1.1869097090342136
163912215,reinverted,0.1,0.8,1.42,0.12,-0.4506307163886301,1.7875037124871431,0.8819476574859894,0.0007750521022390167,3.5231753532628645,1.2838348647829536
16391224x,reinverted,0.1,0.8,1.42,0.12,-0.16145387954094,1.5320529258653444,1.118968672998119,0.00025310119303360195,11.78601993176253,1.0848462844785345
163912266,reinverted,0.1,0.8,1.42,0.12,0.2705943382800261,1.4224492951055163,0.8524954841275776,0.0006794360907623176,11.745217157203534,1.0851410396773025
163916726,reinverted,0.1,0.8,1.42,0.12,-0.4443745161297296,1.3207575454763074,1.1575443971081631,0.00010180292461896638,11.808131715670369,1.0846874022139266
163918035,reinverted,0.1,0.8,1.42,0.12,-0.5779431872155262,1.7673058092154985,1.2894650055193801,0.000254226088066113,11.764848595434259,1.0849989689104953
163918190,reinverted,0.1,0.8,1.42,0.12,-1.118939387119149,1.6138468705333135,1.0380395549358952,0.00047245556613076644,11.455396490314516,1.0872951015572
163922288,reinverted,0.1,0.8,1.42,0.12,-0.3919938917631785,2.0916567492586875,1.2319713045274223,0.0007401803802984641,11.708335183471382,1.0854092391727643
16392454x,reinverted,0.1,0.8,1.42,0.12,-0.8223954177938171,0.9066452666717496,0.7025047605649692,0.00018785733237257742,11.708271264482848,1.0854097054475933
