id,z_j,a_j,epsilon_j,l_j_target,l_j_model
16409746x,1.0122339955176147,-0.812816836289681,4.91929980586119,0.00010630250092100712,0.00010630249958482681
164097523,0.46676656485894913,-0.1528412885970361,4.991755480764403,3.374682568920861e-5,3.374688083239293e-5
164097611,0.5335120196648914,0.19789251203347602,4.99685520705735,4.837045015453234e-5,4.837045984694879e-5
164097697,0.8786836846249174,0.5644858200129484,4.987134594905373,0.0001462362446532373,0.00014623624324470747
164098040,1.002831418861298,-0.5532573789877043,4.961415320757187,0.0001462362446532373,0.00014623625372234817
164098091,0.22747376004622458,0.05791356796223911,4.976151751242371,3.374682568920861e-5,3.3746825686140566e-5
169650199,0.6671991397325956,0.0931239885179022,4.946265772269411,9.561600611942439e-5,9.561600375022169e-5
16965355x,0.8503834837896989,0.4240096088495678,4.999096243424911,8.211727584374094e-5,8.211727444912368e-5
169655539,0.8645092323496631,0.4253755636381298,4.9981906657611646,9.336621774014381e-5,9.33662158020182e-5
16965646x,0.25179644549770835,0.5970688612973982,4.999845198773022,1.912320122388488e-5,1.912320076523567e-5
169656937,0.41805229411595135,0.9704014790232007,4.997737115210933,6.018183914575535e-5,6.0181838053526313e-5
169657833,0.33453290473708647,-0.05190452020908085,4.9745443045525475,2.8122354741007175e-5,2.812235401123973e-5
169658641,0.5896708465080026,0.3835367639918658,4.998727829625984,4.837045015453234e-5,4.8370449276037407e-5
169661656,0.3893417122066394,0.5378170627697837,4.999068586129178,2.924724893064746e-5,2.9247248343643626e-5
169662739,0.22421849106120836,1.1949530826098889,4.99971138776042,2.924724893064746e-5,2.924724848801584e-5
169663459,0.27602039567928816,0.21693486271623322,4.9982860188994245,1.3498730275683443e-5,1.3498729970282048e-5
