id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163574965,0.8,1.42,0.12,0.4,128,-0.7930715578891573,-0.0014414976855681814,11.432951719349475,11.6174634231022,-0.1845117037527242,0.036244607082281194,0.2207091457811971,-0.15258905694880986,2.726486077725221,0.0012373836083083157,1.4578048983137164,1.0874664762475617
163575108,0.8,1.42,0.12,0.4,128,-0.9813861028064627,-0.0003786059286162853,11.779196305308407,11.827657864171293,-0.04846155886288628,0.19652031108762855,0.018564444568749554,-0.880613816598543,1.7252713277600538,2.6997460544795018e-5,1.9870912454815348,1.084895435484791
163575984,0.8,1.42,0.12,0.4,128,-0.7129984461258922,-0.0027830317983805557,11.383005996121394,11.739234066314106,-0.35622807019271185,0.17064255256132063,0.21156273853220822,0.3522855109406065,1.0976918018244612,0.0005028277026643513,0.7024903016621439,1.0878502568074493
163576098,0.8,1.42,0.12,0.4,128,-0.9272942504342464,-0.0014527883920546494,11.640251144308989,11.826208058491986,-0.18595691418299687,0.5302637997358586,0.031438712735625166,0.7677214140669091,0.7411951878294738,0.00014511135043398255,0.6092728588040885,1.0859087993551504
16357624x,0.8,1.42,0.12,0.4,128,-0.8579755632691611,-0.003936322512025387,10.790421257028214,11.294270538567462,-0.5038492815392477,0.05399677665345029,0.5004141564010239,0.37568790456538564,2.1614253115319633,0.0034095542879919497,0.9391233933240662,1.092674787775191
16357640x,0.8,1.42,0.12,0.4,128,-0.9018693114367974,-0.007169742596937141,10.850599929551223,11.768326981959177,-0.9177270524079546,0.17645624213451305,0.2958609825673195,-0.009017565442036269,1.4242444876530875,0.0003397180452022888,0.98194487616258,1.0921608027659868
163576776,0.8,1.42,0.12,0.4,128,-0.9999984405338326,-0.03222480756551209,7.675916040515671,11.800691408901212,-4.124775368385541,0.9964648158203682,0.3687659104090002,-1.903070625224864,2.2519033472709316,8.774174677019863e-5,1.9666914810084553,1.130277610479546
163576880,0.8,1.42,0.12,0.4,128,-0.9866205448158526,-0.029570899680532007,7.789926047627436,11.57500120673553,-3.7850751591080947,0.3267302707391243,0.9982896001984721,-0.5979640265285399,1.218974795559752,0.0003340935742637356,0.8161727394857723,1.1283709234062071
163576944,0.8,1.42,0.12,0.4,128,-0.6776223761425771,-0.012909886510904472,6.717395884492717,8.36986135788849,-1.6524654733957735,0.054915792587942096,2.4150450651784894,-2.1710804853919345,4.087651387557706,0.0015135451318790945,1.9870912454815348,1.1488672124131505
16357720x,0.8,1.42,0.12,0.4,128,-0.9999998922598802,-0.011649380204203603,10.330376541410766,11.821497207548827,-1.4911206661380607,0.9963722229974706,0.13332282720308067,-0.6039772128674006,1.1129472587227176,0.00010742739508292163,0.9619140187244604,1.096801892553612
163577402,0.8,1.42,0.12,0.4,128,-0.8141396688664165,-0.008949602851531818,10.360036901316317,11.505586066312391,-1.1455491649960745,0.10216921303295834,0.6989023742821908,0.08326794218955211,2.567493306835998,0.0023420297023605597,1.1983543887639914,1.0965247527132786
